filename,label,edge_case
video_20250328_110245.mp4,0,0
video_20250328_110416.mp4,0,0
video_20250328_110519.mp4,1,0
video_20250328_112314.mp4,1,0
video_20250328_112424.mp4,1,0
video_20250328_112550.mp4,1,0
video_20250328_113852.mp4,1,1
video_20250328_114158.mp4,1,1
video_20250328_114303.mp4,1,0
video_20250328_194220.mp4,0,0
video_20250328_194306.mp4,1,0
video_20250328_194358.mp4,1,0
video_20250410_123854.mp4,1,1
video_20250410_131646.mp4,1,1
video_20250410_133013.mp4,1,1
video_20250410_133412.mp4,1,1
video_20250411_110134.mp4,1,1
video_20250411_110223.mp4,0,1
video_20250411_110306.mp4,1,1
video_20250411_114452.mp4,1,0
video_20250405_124617.mp4,1,0
video_20250405_125640.mp4,1,0
video_20250405_125942.mp4,1,0
video_20250405_130057.mp4,0,0
video_20250405_130250.mp4,1,0
video_20250405_130343.mp4,1,0
video_20250405_130434.mp4,1,0
video_20250405_130516.mp4,0,0
video_20250405_130626.mp4,1,0
video_20250405_130717.mp4,1,1
video_20250419_115452.mp4,1,0
video_20250419_115542.mp4,1,0
video_20250419_115627.mp4,1,0
video_20250419_115713.mp4,1,0
video_20250419_115851.mp4,1,0
video_20250419_120026.mp4,1,0
video_20250419_121908.mp4,1,0
video_20250419_122018.mp4,1,0
video_20250419_122156.mp4,0,0
video_20250419_122239.mp4,0,0
video_20250419_122324.mp4,1,0
video_20250419_122417.mp4,1,0
video_20250419_122606.mp4,1,0
video_20250419_122654.mp4,0,1
video_20250419_122816.mp4,1,0
video_20250419_122909.mp4,1,0
video_20250419_123007.mp4,1,1
video_20250419_123041.mp4,1,1
video_20250419_123150.mp4,1,0
video_20250419_123337.mp4,1,0
video_20250419_123448.mp4,1,0
video_20250419_123650.mp4,1,1
video_20250419_123728.mp4,0,1
video_20250419_123829.mp4,1,0
video_20250419_123914.mp4,1,0
video_20250419_124109.mp4,1,0
video_20250419_124209.mp4,1,0
video_20250419_124346.mp4,0,0
video_20250419_124427.mp4,1,0
video_20250419_124523.mp4,1,0
video_20250419_123614.mp4,1,0
video_20250419_120146.mp4,1,0
video_20250419_120230.mp4,1,1
video_20250328_011625.mp4,1,0
video_20250329_053325.mp4,1,0
video_20250330_020158.mp4,1,0
video_20250331_010143.mp4,1,1
video_20250401_004232.mp4,0,1
video_20250402_033322.mp4,1,0
video_20250403_033008.mp4,1,0
video_20250407_020857.mp4,1,0
video_20250408_012743.mp4,1,0
video_20250409_015330.mp4,0,0
video_20250411_034145.mp4,1,0
video_20250413_011639.mp4,1,0
video_20250414_003839.mp4,1,1
video_20250416_031326.mp4,1,0
video_20250419_102615.mp4,1,0
video_20250419_172708.mp4,1,0
video_20250419_172757.mp4,0,0
video_20250419_172836.mp4,1,0
video_20250419_172944.mp4,1,0
video_20250419_182746.mp4,1,1
video_20250419_182823.mp4,1,0
video_20250419_185933.mp4,1,0
